FID,WPI_ID,REGION_ID,PORT_NAME,CNTRY_CODE,X,Y,PORT_ID
1000,11900,11860,Covenas,CO,-75.6833,9.4167,11900
1001,11908,11860,El Bosque,CO,-75.5333,10.4,11908
1002,11910,11860,Cartagena,CO,-75.5333,10.4167,11910
1003,11930,11860,Barranquilla,CO,-74.7667,10.9667,11930
1004,11934,11860,Puerto Prodeco,CO,-74.2167,11.15,11934
1005,11935,11860,Pozos Colorados,CO,-74.25,11.15,11935
1006,11940,11860,Santa Marta,CO,-74.2167,11.25,11940
1007,11946,11860,Puerto Bolivar,CO,-71.9667,12.25,11946
1008,11960,11950,Maracaibo,VE,-71.6,10.6333,11960
1009,11980,11950,San Lorenzo,VE,-71.0667,9.7833,11980
1010,11990,11950,Bachaquero,VE,-71.15,9.95,11990
1011,12025,11950,La Salina,VE,-71.4667,10.3667,12025
1012,12030,11950,Cabimas,VE,-71.4833,10.3833,12030
1013,12032,11950,Punta De Palmas,VE,-71.5667,10.4,12032
1014,12034,11950,Bajo Grande,VE,-71.6333,10.5167,12034
1015,12035,11950,Puerto Miranda,VE,-71.5667,10.7667,12035
1016,12050,11950,Punta Cardon,VE,-70.2333,11.6333,12050
1017,12060,11950,Bahia Boca De Las Piedras,VE,-70.2167,11.7,12060
1018,12070,11950,Bahia De Amuay,VE,-70.2333,11.75,12070
1019,12090,11950,Puerto Cumarebo,VE,-69.35,11.4833,12090
1020,12100,11950,Chichiriviche,VE,-68.2667,10.9167,12100
1021,12115,11950,El Palito,VE,-68.1167,10.5,12115
1022,12120,11950,Puerto Cabello,VE,-68,10.4833,12120
1023,12130,11950,Puerto Borburata,VE,-67.9833,10.4833,12130
1024,12145,11950,Catia La Mar,VE,-67.0333,10.6,12145
1025,12150,11950,Puerto La Guaira,VE,-66.9333,10.6167,12150
1026,12180,11950,Jose Terminal,VE,-64.85,10.1,12180
1027,12185,11950,Puerto La Cruz,VE,-64.6333,10.25,12185
1028,12190,11950,El Chaure,VE,-64.6167,10.25,12190
1029,12200,11950,Bahia Guanta,VE,-64.5833,10.25,12200
1030,12210,11950,Pamatacual,VE,-64.5667,10.2333,12210
1031,12220,11950,Puerto Sucre,VE,-64.1833,10.4667,12220
1032,12230,11950,Araya,VE,-64.2667,10.5667,12230
1033,12250,11950,Guaraguao,VE,-63.85,10.95,12250
1034,12260,11950,Puerto Carupano,VE,-63.25,10.6667,12260
1035,12270,11950,Guiria,VE,-62.3,10.5667,12270
1036,12275,11950,Puerto De Hierro,VE,-62.0833,10.6333,12275
1037,12280,11950,Caripito,VE,-63.0333,10.15,12280
1038,12290,11950,Guanoco,VE,-62.9333,10.1667,12290
1039,12300,11950,Puerto Pedernales,VE,-62.25,9.9833,12300
1040,12330,11950,Palua,VE,-62.6833,8.3667,12330
1041,12335,11950,Puerto Ordaz,VE,-62.7167,8.35,12335
1042,12340,11950,Ciudad Bolivar,VE,-63.55,8.1333,12340
1043,12360,12350,Bartica,GY,-58.6167,6.4167,12360
1044,12370,12350,Georgetown,GY,-58.1667,6.8333,12370
1045,12380,12350,Linden,GY,-58.3,6,12380
1046,12390,12350,New Amsterdam,GY,-57.5167,6.25,12390
1047,12405,12395,Nieuw Nickerie,NS,-57,5.95,12405
1048,12410,12395,Paramaribo,NS,-55.15,5.8167,12410
1049,12415,12395,Paranam,NS,-55.1,5.6167,12415
1050,12420,12395,Moengo,NS,-54.4167,5.6333,12420
1051,12450,12440,St Laurent,FG,-54.0333,5.5,12450
1052,12455,12440,Degrad Des Cannes,FG,-52.2667,4.85,12455
1053,12460,12440,Cayenne,FG,-52.3333,4.9333,12460
1054,12483,12470,Macapa,BR,-51.05,0.0333,12483
1055,12485,12470,Porto Santana,BR,-51.1833,-0.05,12485
1056,12490,12470,Belem,BR,-48.5,-1.45,12490
1057,12500,12470,Cameta,BR,-49.5,-2.25,12500
1058,12510,12470,Santarem,BR,-54.7167,-2.4167,12510
1059,12530,12470,Obidos,BR,-55.5167,-1.9167,12530
1060,12540,12470,Itacoatiara,BR,-58.45,-3.15,12540
1061,12560,12470,Manaus,BR,-60.0167,-3.1333,12560
1062,12570,12565,Iquitos,PE,-73.2333,-3.75,12570
1063,12585,12575,Itaqui,BR,-44.3667,-2.5833,12585
1064,12590,12575,Sao Luis,BR,-44.2833,-2.5333,12590
1065,12600,12575,Tutoia,BR,-42.2833,-2.7833,12600
1066,12610,12575,Luis Correia,BR,-41.6667,-2.8833,12610
1067,12620,12575,Parnaiba,BR,-41.7833,-2.9,12620
1068,12630,12575,Camocim,BR,-40.8333,-2.9,12630
1069,12650,12575,Fortaleza,BR,-38.4833,-3.7,12650
1070,12660,12575,Aracati,BR,-37.7667,-4.5667,12660
1071,12690,12575,Natal,BR,-35.2,-5.7833,12690
1072,12710,12700,Cabedelo,BR,-34.8333,-6.9667,12710
1073,12730,12700,Recife,BR,-34.8667,-8.05,12730
1074,12740,12700,Suape,BR,-34.8833,-8.0667,12740
1075,12750,12700,Maceio,BR,-35.7333,-9.6667,12750
1076,12760,12700,Aracaju,BR,-37.05,-10.9167,12760
1077,12770,12700,Salvador,BR,-38.5167,-12.9667,12770
1078,12772,12700,Aratu,BR,-38.5,-12.8,12772
1079,12775,12700,Madre De Deus,BR,-38.6333,-12.75,12775
1080,12780,12700,Camamu,BR,-38.9333,-13.8667,12780
1081,12810,12700,Portofilheus,BR,-39.0167,-14.7833,12810
1082,12820,12700,Porto Seguro,BR,-39.0667,-16.45,12820
1083,12840,12700,Caravelas,BR,-39.25,-17.7167,12840
1084,12845,12700,Terminal Da Aracruz,BR,-40.0833,-19.85,12845
1085,12850,12700,Vitoria,BR,-40.3333,-20.3167,12850
1086,12855,12700,Tubarao,BR,-40.25,-20.2833,12855
1087,12890,12700,Macae,BR,-41.7667,-22.3667,12890
1088,12900,12700,Cabo Frio,BR,-42,-22.8833,12900
1089,12910,12700,Porto Do Forno,BR,-42.0167,-22.9667,12910
1090,12920,12700,Rio De Janeiro,BR,-43.1667,-22.9,12920
1091,12930,12700,Niteroi,BR,-43.1167,-22.8833,12930
1092,12935,12700,Sepetibaore Terminal,BR,-44.0333,-23.0167,12935
1093,12940,12700,Angra Dos Reis,BR,-44.3167,-23.0167,12940
1094,12960,12700,Sao Sebastiao,BR,-45.4,-23.8,12960
1095,12970,12700,Santos,BR,-46.3,-23.95,12970
1096,12980,12700,Paranagua,BR,-48.5167,-25.5,12980
1097,12990,12700,Antonina,BR,-48.7,-25.4333,12990
1098,13000,12700,Sao Francisco,BR,-48.6333,-26.25,13000
1099,13010,12700,Joinville,BR,-48.85,-26.3167,13010
1100,13020,12700,Itajai,BR,-48.6333,-26.9167,13020
1101,13030,12700,Florianopolis,BR,-48.55,-27.6,13030
1102,13040,12700,Imbituba,BR,-48.6833,-28.2833,13040
1103,13050,12700,Laguna,BR,-48.7833,-28.5,13050
1104,13055,12700,Tramandati,BR,-50.1333,-29.9833,13055
1105,13060,12700,Rio Grande,BR,-52.0833,-32.05,13060
1106,13070,12700,Pelotas,BR,-52.3333,-31.7833,13070
1107,13080,12700,Porto Alegre,BR,-51.2333,-30.0333,13080
1108,13100,13090,La Paloma,UY,-54.15,-34.65,13100
1109,13120,13090,Montevideo,UY,-56.2167,-34.9,13120
1110,13130,13090,Puerto Sauce,UY,-57.45,-34.4333,13130
1111,13140,13090,Colonia,UY,-57.85,-34.4667,13140
1112,13150,13090,Nueva Palmira,UY,-58.4167,-33.8833,13150
1113,13160,13090,Fray Bentos,UY,-58.3167,-33.1167,13160
1114,13170,13090,Paysandu,UY,-58.0667,-32.3167,13170
1115,13180,13090,Salto,UY,-57.9667,-31.3833,13180
1116,13250,13190,Puerto De Asuncion,PA,-57.6833,-25.2667,13250
1117,13340,13310,Puerto Formosa,AR,-58.1833,-26.1833,13340
1118,13350,13310,Puerto Bermejo,AR,-58.5,-26.9333,13350
1119,13370,13310,Corrientes,AR,-58.8333,-27.4833,13370
1120,13380,13310,Barranqueras,AR,-58.9167,-27.5,13380
1121,13400,13310,Empedrado,AR,-58.75,-27.95,13400
1122,13420,13310,Puerto Piracuacito,AR,-59.0833,-28.1667,13420
1123,13460,13310,Puerto Goya,AR,-59.2833,-29.2,13460
1124,13490,13310,Esquina,AR,-59.5333,-30,13490
1125,13500,13310,La Paz,AR,-59.65,-30.75,13500
1126,13520,13310,Villa Hernandarias,AR,-59.9833,-31.2167,13520
1127,13530,13310,Puerto Brugo,AR,-60.0667,-31.3667,13530
1128,13540,13310,Curtiembre,AR,-60.1,-31.4167,13540
1129,13550,13310,Villa Urquiza,AR,-60.3667,-31.6667,13550
1130,13560,13310,Santa Fe,AR,-60.7,-31.65,13560
1131,13570,13310,Parana,AR,-60.5333,-31.7167,13570
1132,13580,13310,Diamante,AR,-60.65,-32.0667,13580
1133,13600,13310,Puerto San Martin,AR,-60.7333,-32.7167,13600
1134,13610,13310,San Lorenzo,AR,-60.7333,-32.75,13610
1135,13630,13310,Rosario,AR,-60.6333,-32.95,13630
1136,13640,13310,Villa Constitucion,AR,-60.3333,-33.2333,13640
1137,13650,13310,San Nicolas,AR,-60.2333,-33.3333,13650
1138,13660,13310,Romallo,AR,-60.0167,-33.4833,13660
1139,13670,13310,San Pedro,AR,-59.8167,-33.5833,13670
1140,13690,13310,Puerto Ibicuy,AR,-59.1833,-33.75,13690
1141,13700,13310,Zarate,AR,-59.0333,-34.0833,13700
1142,13710,13310,Campana,AR,-58.9667,-34.15,13710
1143,13720,13310,Concordia,AR,-58.0333,-31.4,13720
1144,13730,13310,Colon,AR,-58.1333,-32.2167,13730
1145,13740,13310,Concepcion Del Uruguay,AR,-58.2333,-32.4833,13740
1146,13760,13310,Buenos Aires,AR,-58.3667,-34.6,13760
1147,13770,13310,La Plata,AR,-57.9333,-34.9,13770
1148,13780,13310,Mar Del Plata,AR,-57.5333,-38.0333,13780
1149,13790,13310,Quequen,AR,-58.7,-38.5833,13790
1150,13800,13310,Puerto Rosales,AR,-62.0667,-38.9167,13800
1151,13810,13310,Puerto Belgrano,AR,-62.1,-38.8833,13810
1152,13815,13310,Bahia Blanca,AR,-62.2667,-38.7833,13815
1153,13820,13310,Puerto Ingeniero White,AR,-62.2667,-38.8,13820
1154,13830,13310,Puerto Nacional,AR,-62.2833,-38.8,13830
1155,13840,13310,Puerto Galvan,AR,-62.3,-38.7833,13840
1156,13860,13310,Puerto San Blas,AR,-62.2333,-40.5667,13860
1157,13870,13310,Carmen De Patagones,AR,-62.9833,-40.8,13870
1158,13900,13310,Puerto Madryn,AR,-65.0333,-42.7667,13900
